Origin,Dest,Route,Total_Flights,Avg_Delay,Avg_Distance
SYR,ORD,SYRto(->)ORD,55,85.49090909090908,607.0
AVL,EWR,AVLto(->)EWR,14,85.42857142857143,583.0
PHL,MKE,PHLto(->)MKE,10,85.2,690.0
BOS,ORD,BOSto(->)ORD,76,85.17105263157895,867.0
MDW,SFO,MDWto(->)SFO,45,85.13333333333334,1855.0
GUC,DEN,GUCto(->)DEN,27,85.11111111111111,152.0
PIT,ORD,PITto(->)ORD,72,84.98611111111111,412.0
DFW,ORD,DFWto(->)ORD,73,84.94520547945206,802.0
AZO,ORD,AZOto(->)ORD,19,84.42105263157895,122.0
ACV,SMF,ACVto(->)SMF,13,82.92307692307692,207.0
SMF,ORD,SMFto(->)ORD,41,82.2439024390244,1781.0
BUF,CLE,BUFto(->)CLE,21,82.04761904761905,192.0
ORD,MDT,ORDto(->)MDT,32,82.03125,594.0
SFO,RDM,SFOto(->)RDM,38,81.84210526315789,462.0
SAN,SFO,SANto(->)SFO,252,81.6984126984127,447.0
SLC,PSP,SLCto(->)PSP,13,81.3076923076923,541.0
ORD,GSO,ORDto(->)GSO,38,81.26315789473684,590.0
EWR,ORD,EWRto(->)ORD,129,81.2015503875969,719.0
ORD,RIC,ORDto(->)RIC,26,81.11538461538461,642.0
DSM,ORD,DSMto(->)ORD,67,81.08955223880596,299.0
SLC,MFR,SLCto(->)MFR,15,81.06666666666666,575.0
ORD,TVC,ORDto(->)TVC,41,80.97560975609755,224.0
ORD,ORF,ORDto(->)ORF,73,80.95890410958904,717.0
RIC,ORD,RICto(->)ORD,21,80.95238095238095,642.0
CLE,LGA,CLEto(->)LGA,15,80.6,418.0
SFO,ABQ,SFOto(->)ABQ,25,80.24,896.0
SFO,SLC,SFOto(->)SLC,164,80.1890243902439,599.0
GJT,PHX,GJTto(->)PHX,25,80.0,438.0
BDL,JFK,BDLto(->)JFK,12,79.83333333333333,106.0
SFO,MOD,SFOto(->)MOD,51,79.74509803921569,78.0
SFO,EUG,SFOto(->)EUG,105,79.74285714285715,451.0
LEX,EWR,LEXto(->)EWR,18,79.61111111111111,588.0
PDX,SFO,PDXto(->)SFO,81,79.39506172839506,550.0
SBA,DEN,SBAto(->)DEN,20,79.3,916.0
MCI,ORD,MCIto(->)ORD,47,79.19148936170212,403.0
LAS,SFO,LASto(->)SFO,259,79.01544401544402,414.0
SJC,ORD,SJCto(->)ORD,33,78.81818181818181,1829.0
ORD,BNA,ORDto(->)BNA,47,78.61702127659575,409.0
ORD,ABE,ORDto(->)ABE,53,78.50943396226415,654.0
CID,ORD,CIDto(->)ORD,55,78.38181818181818,196.0
CHS,IAD,CHSto(->)IAD,40,78.15,441.0
ICT,ORD,ICTto(->)ORD,47,78.1063829787234,588.0
ROC,ORD,ROCto(->)ORD,30,77.8,528.0
CLE,ORD,CLEto(->)ORD,104,77.57692307692308,316.0
BOI,SAN,BOIto(->)SAN,17,77.29411764705883,749.0
SLC,BFL,SLCto(->)BFL,10,77.1,534.0
LGA,ORD,LGAto(->)ORD,132,77.07575757575758,733.0
ORD,LNK,ORDto(->)LNK,37,77.05405405405405,466.0
PSP,SLC,PSPto(->)SLC,19,76.94736842105263,541.0
SFO,BUR,SFOto(->)BUR,76,76.90789473684211,326.0
ORD,GRB,ORDto(->)GRB,61,76.45901639344262,174.0
SFO,MDW,SFOto(->)MDW,38,76.10526315789474,1855.0
ATL,ORD,ATLto(->)ORD,87,75.96551724137932,606.0
ORD,MEM,ORDto(->)MEM,53,75.9622641509434,491.0
OMA,ORD,OMAto(->)ORD,70,75.74285714285715,416.0
LAX,SFO,LAXto(->)SFO,408,75.73774509803921,337.0
ORD,DAY,ORDto(->)DAY,26,75.53846153846153,240.0
IAD,SPI,IADto(->)SPI,15,75.53333333333333,657.0
BHM,IAH,BHMto(->)IAH,30,75.5,562.0
COS,ORD,COSto(->)ORD,33,75.42424242424242,911.0
IAD,CAE,IADto(->)CAE,57,75.3859649122807,401.0
SAV,CVG,SAVto(->)CVG,10,75.2,515.0
SFO,ACV,SFOto(->)ACV,92,74.92391304347827,250.0
ORD,MKE,ORDto(->)MKE,32,74.90625,67.0
SFO,SAN,SFOto(->)SAN,225,74.64444444444445,447.0
PSC,SLC,PSCto(->)SLC,24,74.58333333333333,521.0
PIT,IAD,PITto(->)IAD,20,74.25,183.0
BDL,MKE,BDLto(->)MKE,16,73.875,780.0
SFO,SBA,SFOto(->)SBA,114,73.78947368421052,262.0
SLC,OMA,SLCto(->)OMA,13,73.3076923076923,839.0
SFO,MFR,SFOto(->)MFR,99,72.78787878787878,329.0
ORD,MSY,ORDto(->)MSY,42,72.61904761904762,837.0
ATW,ORD,ATWto(->)ORD,62,72.61290322580645,160.0
HSV,IAD,HSVto(->)IAD,17,72.58823529411765,595.0
GEG,SAN,GEGto(->)SAN,19,72.57894736842105,1027.0
SFO,PDX,SFOto(->)PDX,83,72.51807228915662,550.0
GSO,CLT,GSOto(->)CLT,17,72.47058823529412,83.0
ORD,SAV,ORDto(->)SAV,48,72.4375,773.0
ORD,CRW,ORDto(->)CRW,23,72.3913043478261,416.0
MDW,AUS,MDWto(->)AUS,17,72.29411764705883,972.0
ORD,SGF,ORDto(->)SGF,58,72.29310344827586,438.0
SFO,AUS,SFOto(->)AUS,11,72.27272727272727,1504.0
SFO,RNO,SFOto(->)RNO,94,72.04255319148936,192.0
IAD,HSV,IADto(->)HSV,22,72.0,595.0
EWR,TUL,EWRto(->)TUL,10,72.0,1215.0
IAD,PVD,IADto(->)PVD,11,71.9090909090909,372.0
JAX,IAD,JAXto(->)IAD,25,71.8,631.0
MHT,ORD,MHTto(->)ORD,39,71.7948717948718,843.0
MDT,IAD,MDTto(->)IAD,21,71.71428571428571,94.0
ORD,HDN,ORDto(->)HDN,13,71.6923076923077,1009.0
ORD,MBS,ORDto(->)MBS,45,71.66666666666667,222.0
RNO,LGB,RNOto(->)LGB,12,71.58333333333333,402.0
MRY,SFO,MRYto(->)SFO,82,71.5609756097561,77.0
DAY,ORD,DAYto(->)ORD,25,71.36,240.0
SFO,LAS,SFOto(->)LAS,247,71.10931174089069,414.0
CLE,MCI,CLEto(->)MCI,18,70.77777777777777,694.0
LGA,IAD,LGAto(->)IAD,28,70.5,229.0
SEA,SFO,SEAto(->)SFO,95,70.3157894736842,679.0
BWI,JFK,BWIto(->)JFK,21,70.23809523809524,184.0
ORD,LAN,ORDto(->)LAN,50,70.2,179.0
PIH,SLC,PIHto(->)SLC,27,70.14814814814815,150.0
JAC,DEN,JACto(->)DEN,28,70.14285714285714,406.0
SFO,LAX,SFOto(->)LAX,370,70.12972972972973,337.0
PIT,EWR,PITto(->)EWR,73,70.0958904109589,319.0
COS,SLC,COSto(->)SLC,16,70.0,410.0
ORD,JFK,ORDto(->)JFK,33,70.0,740.0
ORD,BUF,ORDto(->)BUF,69,69.98550724637681,473.0
SFO,RDD,SFOto(->)RDD,69,69.82608695652173,199.0
ORD,SLC,ORDto(->)SLC,65,69.76923076923077,1249.0
SLC,SNA,SLCto(->)SNA,16,69.75,588.0
ORF,IAD,ORFto(->)IAD,34,69.61764705882354,157.0
ALB,ORD,ALBto(->)ORD,18,69.61111111111111,723.0
ATL,MHT,ATLto(->)MHT,18,69.55555555555556,952.0
SAN,BOI,SANto(->)BOI,21,69.52380952380952,749.0
SFO,BOI,SFOto(->)BOI,63,69.4920634920635,522.0
IAD,ORF,IADto(->)ORF,23,69.43478260869566,157.0
ORD,MHT,ORDto(->)MHT,41,69.36585365853658,843.0
TUS,SLC,TUSto(->)SLC,31,69.29032258064517,601.0
CLE,DAY,CLEto(->)DAY,20,69.15,162.0
MHT,EWR,MHTto(->)EWR,36,69.13888888888889,209.0
SMF,SFO,SMFto(->)SFO,80,69.125,86.0
IAD,MDT,IADto(->)MDT,35,69.02857142857142,94.0
IAD,EWR,IADto(->)EWR,43,69.0,213.0
ORD,CHS,ORDto(->)CHS,46,68.93478260869566,760.0
ORD,CID,ORDto(->)CID,39,68.74358974358974,196.0
DTW,IAD,DTWto(->)IAD,23,68.69565217391305,383.0
CID,DEN,CIDto(->)DEN,27,68.51851851851852,692.0
CMH,RSW,CMHto(->)RSW,10,68.4,930.0
ORD,ALB,ORDto(->)ALB,21,68.38095238095238,723.0
ORD,TUL,ORDto(->)TUL,30,68.36666666666666,585.0
GSP,IAD,GSPto(->)IAD,29,68.3103448275862,383.0
JAC,SLC,JACto(->)SLC,50,68.3,205.0
FCA,SLC,FCAto(->)SLC,37,68.29729729729729,532.0
ORD,SAT,ORDto(->)SAT,44,68.27272727272727,1041.0
IAD,SYR,IADto(->)SYR,21,68.23809523809524,296.0
IAD,SAV,IADto(->)SAV,40,68.175,515.0
FLL,ORD,FLLto(->)ORD,25,68.16,1182.0
MDW,ATL,MDWto(->)ATL,13,68.15384615384616,590.0
DEN,XNA,DENto(->)XNA,10,68.1,616.0
ORD,OKC,ORDto(->)OKC,14,68.07142857142857,693.0
OAK,ORD,OAKto(->)ORD,26,68.0,1835.0
MEM,PHX,MEMto(->)PHX,12,67.83333333333333,1263.0
CAE,ORD,CAEto(->)ORD,61,67.78688524590164,666.0
SFO,HNL,SFOto(->)HNL,56,67.78571428571429,2398.0
MCO,SFO,MCOto(->)SFO,19,67.6842105263158,2445.0
SLC,EKO,SLCto(->)EKO,31,67.6774193548387,200.0
DEN,SFO,DENto(->)SFO,163,67.6319018404908,967.0
SLC,LGB,SLCto(->)LGB,33,67.60606060606061,589.0
SAV,IAD,SAVto(->)IAD,39,67.53846153846153,515.0
JFK,CLT,JFKto(->)CLT,25,67.4,541.0
MKE,CLE,MKEto(->)CLE,32,67.375,328.0
BGR,EWR,BGRto(->)EWR,19,67.36842105263158,393.0
IAD,DTW,IADto(->)DTW,38,67.3157894736842,383.0
ORD,BOI,ORDto(->)BOI,26,67.15384615384616,1437.0
ALB,EWR,ALBto(->)EWR,33,67.0909090909091,143.0
MLI,DEN,MLIto(->)DEN,23,67.08695652173913,751.0
SFO,TUS,SFOto(->)TUS,16,67.0,751.0
DCA,DEN,DCAto(->)DEN,11,66.9090909090909,1476.0
ORD,BMI,ORDto(->)BMI,44,66.8409090909091,116.0
SLC,AUS,SLCto(->)AUS,24,66.66666666666667,1085.0
SFO,ONT,SFOto(->)ONT,75,66.64,363.0
ORD,FWA,ORDto(->)FWA,45,66.62222222222222,157.0
ORD,TPA,ORDto(->)TPA,70,66.61428571428571,1012.0
IAH,ORD,IAHto(->)ORD,70,66.44285714285714,925.0
ORD,CWA,ORDto(->)CWA,42,66.42857142857143,213.0
ORD,SDF,ORDto(->)SDF,65,66.38461538461539,286.0
MSP,ORD,MSPto(->)ORD,98,66.35714285714286,334.0
BTV,JFK,BTVto(->)JFK,13,66.3076923076923,267.0
CLE,DEN,CLEto(->)DEN,14,66.28571428571429,1201.0
ORD,AUS,ORDto(->)AUS,28,66.14285714285714,978.0
CVG,ORD,CVGto(->)ORD,78,66.06410256410257,264.0
GRR,CLE,GRRto(->)CLE,11,65.9090909090909,214.0
ORD,GEG,ORDto(->)GEG,21,65.9047619047619,1498.0
ORF,CLT,ORFto(->)CLT,17,65.88235294117646,290.0
IYK,LAX,IYKto(->)LAX,12,65.83333333333333,123.0
SFO,SBP,SFOto(->)SBP,50,65.68,191.0
BHM,IAD,BHMto(->)IAD,15,65.66666666666667,638.0
GSO,ATL,GSOto(->)ATL,15,65.66666666666667,306.0
ORD,LEX,ORDto(->)LEX,42,65.66666666666667,323.0
EUG,LAX,EUGto(->)LAX,12,65.58333333333333,748.0
HLN,SLC,HLNto(->)SLC,19,65.52631578947368,402.0
CMH,ORD,CMHto(->)ORD,47,65.51063829787235,296.0
CLT,ORD,CLTto(->)ORD,155,65.49032258064516,599.0
GSP,ATL,GSPto(->)ATL,10,65.4,153.0
DEN,HNL,DENto(->)HNL,12,65.33333333333333,3365.0
LGA,RIC,LGAto(->)RIC,24,65.16666666666667,292.0
XNA,IAH,XNAto(->)IAH,23,64.95652173913044,438.0
SLC,PSC,SLCto(->)PSC,41,64.8780487804878,521.0
FSD,DEN,FSDto(->)DEN,42,64.85714285714286,483.0
DCA,ORD,DCAto(->)ORD,84,64.63095238095238,612.0
ORD,COS,ORDto(->)COS,56,64.625,911.0
SFO,EWR,SFOto(->)EWR,39,64.58974358974359,2565.0
IAD,CLE,IADto(->)CLE,45,64.57777777777778,288.0
ATL,SDF,ATLto(->)SDF,14,64.57142857142857,321.0
ORD,RDU,ORDto(->)RDU,51,64.52941176470588,647.0
TPA,ORD,TPAto(->)ORD,38,64.52631578947368,1012.0
BDL,ORD,BDLto(->)ORD,47,64.23404255319149,783.0
ORD,AVP,ORDto(->)AVP,25,64.2,631.0
ORD,BDL,ORDto(->)BDL,71,64.19718309859155,783.0
CVG,DEN,CVGto(->)DEN,14,64.14285714285714,1069.0
SFO,FAT,SFOto(->)FAT,92,64.09782608695652,158.0
IAD,JAX,IADto(->)JAX,21,64.0,631.0
SFO,LIH,SFOto(->)LIH,14,63.92857142857143,2447.0
ICT,DEN,ICTto(->)DEN,38,63.81578947368421,419.0
SLC,CDC,SLCto(->)CDC,10,63.8,221.0
STL,EWR,STLto(->)EWR,43,63.674418604651166,872.0
DSM,PHX,DSMto(->)PHX,12,63.666666666666664,1149.0
SFO,BFL,SFOto(->)BFL,39,63.56410256410256,238.0
SFO,SMF,SFOto(->)SMF,68,63.36764705882353,86.0
MKE,EWR,MKEto(->)EWR,111,63.270270270270274,725.0
OKC,SLC,OKCto(->)SLC,15,63.266666666666666,866.0
SDF,EWR,SDFto(->)EWR,22,63.18181818181818,642.0
ORD,CLT,ORDto(->)CLT,153,63.05882352941177,599.0
BTV,ORD,BTVto(->)ORD,24,63.041666666666664,763.0
SFO,SNA,SFOto(->)SNA,76,63.026315789473685,372.0
BNA,CVG,BNAto(->)CVG,17,62.94117647058823,230.0
MRY,LAX,MRYto(->)LAX,64,62.9375,267.0
GPT,IAH,GPTto(->)IAH,29,62.93103448275862,376.0
ORD,SBN,ORDto(->)SBN,68,62.88235294117647,84.0
ORD,MLI,ORDto(->)MLI,31,62.83870967741935,139.0
PHL,SJU,PHLto(->)SJU,40,62.8,1576.0
CLT,IAD,CLTto(->)IAD,73,62.78082191780822,321.0
IAD,CLT,IADto(->)CLT,63,62.73015873015873,321.0
LAS,SDF,LASto(->)SDF,13,62.69230769230769,1624.0
ORD,MSN,ORDto(->)MSN,76,62.671052631578945,109.0
ORD,OMA,ORDto(->)OMA,72,62.625,416.0
ORD,PIT,ORDto(->)PIT,87,62.55172413793103,412.0
SFO,ORD,SFOto(->)ORD,149,62.47651006711409,1846.0
SLC,ORD,SLCto(->)ORD,47,62.46808510638298,1249.0
GTF,SLC,GTFto(->)SLC,12,62.333333333333336,463.0
DAY,IAH,DAYto(->)IAH,18,62.333333333333336,929.0
IAD,CHS,IADto(->)CHS,52,62.32692307692308,441.0
SLC,SLE,SLCto(->)SLE,13,62.23076923076923,628.0
SFO,DEN,SFOto(->)DEN,138,62.21739130434783,967.0
SLC,MTJ,SLCto(->)MTJ,13,62.0,268.0
CDC,SLC,CDCto(->)SLC,12,62.0,221.0
EWR,LIT,EWRto(->)LIT,14,62.0,1069.0
SFO,SEA,SFOto(->)SEA,103,61.94174757281554,679.0
SLC,TUS,SLCto(->)TUS,32,61.9375,601.0
BZN,SLC,BZNto(->)SLC,54,61.851851851851855,347.0
SAT,DEN,SATto(->)DEN,19,61.78947368421053,794.0
SLC,FCA,SLCto(->)FCA,38,61.73684210526316,532.0
ORD,FSD,ORDto(->)FSD,62,61.66129032258065,462.0
AUS,SLC,AUSto(->)SLC,13,61.53846153846154,1085.0
DTW,CVG,DTWto(->)CVG,26,61.46153846153846,229.0
ONT,ELP,ONTto(->)ELP,11,61.45454545454545,670.0
XNA,DEN,XNAto(->)DEN,11,61.45454545454545,616.0
BWI,EWR,BWIto(->)EWR,35,61.371428571428574,169.0
SLC,COD,SLCto(->)COD,14,61.285714285714285,298.0
PDX,DEN,PDXto(->)DEN,39,61.256410256410255,992.0
ORD,FAR,ORDto(->)FAR,43,61.25581395348837,557.0
HNL,SFO,HNLto(->)SFO,20,61.15,2398.0
DEN,BUR,DENto(->)BUR,32,61.0,850.0
SFO,MRY,SFOto(->)MRY,79,60.9873417721519,77.0
MCI,IAD,MCIto(->)IAD,25,60.88,926.0
ATW,CVG,ATWto(->)CVG,25,60.88,411.0
FWA,ATL,FWAto(->)ATL,12,60.833333333333336,508.0
HOU,MAF,HOUto(->)MAF,15,60.8,441.0
EWR,SFO,EWRto(->)SFO,19,60.73684210526316,2565.0
MEM,CLT,MEMto(->)CLT,21,60.714285714285715,512.0
LAS,ORD,LASto(->)ORD,111,60.711711711711715,1515.0
EWR,MKE,EWRto(->)MKE,77,60.675324675324674,725.0
IAD,GSO,IADto(->)GSO,10,60.6,239.0
IDA,SLC,IDAto(->)SLC,47,60.5531914893617,188.0
ATL,MDW,ATLto(->)MDW,13,60.53846153846154,590.0
EWR,OMA,EWRto(->)OMA,23,60.34782608695652,1133.0
MTJ,SLC,MTJto(->)SLC,19,60.31578947368421,268.0
LGA,CLE,LGAto(->)CLE,20,60.25,418.0
ORD,ICT,ORDto(->)ICT,48,60.229166666666664,588.0
BOI,ONT,BOIto(->)ONT,22,60.22727272727273,660.0
RIC,EWR,RICto(->)EWR,36,60.19444444444444,278.0
MSN,MKE,MSNto(->)MKE,15,59.86666666666667,74.0
SJU,PHL,SJUto(->)PHL,38,59.81578947368421,1576.0
MYR,CLT,MYRto(->)CLT,21,59.80952380952381,156.0
PHL,ORD,PHLto(->)ORD,170,59.794117647058826,678.0
ORD,BHM,ORDto(->)BHM,42,59.785714285714285,584.0
LAX,OXR,LAXto(->)OXR,25,59.76,49.0
SLC,HLN,SLCto(->)HLN,27,59.7037037037037,402.0
PSC,DEN,PSCto(->)DEN,10,59.7,853.0
SLC,MSP,SLCto(->)MSP,24,59.666666666666664,991.0
MCO,ORD,MCOto(->)ORD,77,59.62337662337662,1005.0
CLE,SDF,CLEto(->)SDF,12,59.416666666666664,304.0
CAE,IAD,CAEto(->)IAD,44,59.38636363636363,401.0
GSO,EWR,GSOto(->)EWR,38,59.3421052631579,446.0
DEN,EWR,DENto(->)EWR,61,59.295081967213115,1605.0
IAD,SAN,IADto(->)SAN,35,59.285714285714285,2253.0
GRR,CVG,GRRto(->)CVG,14,59.214285714285715,268.0
CLE,AUS,CLEto(->)AUS,10,59.2,1174.0
JFK,ORD,JFKto(->)ORD,43,59.16279069767442,740.0
ORD,DTW,ORDto(->)DTW,75,59.13333333333333,235.0
CLE,GRR,CLEto(->)GRR,16,59.125,214.0
BOI,LAX,BOIto(->)LAX,37,59.108108108108105,674.0
PWM,EWR,PWMto(->)EWR,39,59.0,284.0
JAC,ORD,JACto(->)ORD,19,58.94736842105263,1162.0
ORD,IND,ORDto(->)IND,37,58.945945945945944,177.0
ATL,IAD,ATLto(->)IAD,22,58.90909090909091,533.0
CLT,BHM,CLTto(->)BHM,11,58.90909090909091,351.0
TWF,SLC,TWFto(->)SLC,87,58.85057471264368,175.0
ORD,HPN,ORDto(->)HPN,21,58.80952380952381,738.0
ORD,DSM,ORDto(->)DSM,91,58.67032967032967,299.0
LCH,IAH,LCHto(->)IAH,13,58.61538461538461,127.0
PDX,ORD,PDXto(->)ORD,40,58.6,1739.0
MSP,EWR,MSPto(->)EWR,34,58.588235294117645,1008.0
SFO,MCO,SFOto(->)MCO,24,58.583333333333336,2445.0
MSP,CVG,MSPto(->)CVG,30,58.53333333333333,596.0
CLE,CVG,CLEto(->)CVG,11,58.45454545454545,221.0
PVD,EWR,PVDto(->)EWR,33,58.45454545454545,160.0
RDU,EWR,RDUto(->)EWR,54,58.425925925925924,416.0
ORD,ATW,ORDto(->)ATW,80,58.4125,160.0
DEN,BHM,DENto(->)BHM,10,58.4,1082.0
ORD,LGA,ORDto(->)LGA,180,58.394444444444446,733.0
CLE,IAD,CLEto(->)IAD,44,58.34090909090909,288.0
ORD,CLE,ORDto(->)CLE,102,58.294117647058826,316.0
ORD,LAS,ORDto(->)LAS,139,58.2589928057554,1515.0
PHX,SFO,PHXto(->)SFO,129,58.04651162790697,651.0
SFO,JFK,SFOto(->)JFK,90,58.044444444444444,2586.0
ORD,BWI,ORDto(->)BWI,72,58.013888888888886,622.0
PHX,ORD,PHXto(->)ORD,110,57.96363636363636,1440.0
MDW,BHM,MDWto(->)BHM,23,57.95652173913044,570.0
SNA,ORD,SNAto(->)ORD,40,57.95,1726.0
EKO,SLC,EKOto(->)SLC,36,57.80555555555556,200.0
PHX,SBA,PHXto(->)SBA,28,57.67857142857143,455.0
IAD,LGA,IADto(->)LGA,39,57.666666666666664,229.0
ORD,IAH,ORDto(->)IAH,74,57.486486486486484,925.0
MSY,ORD,MSYto(->)ORD,16,57.375,837.0
CLT,MEM,CLTto(->)MEM,16,57.3125,512.0
SAN,BFL,SANto(->)BFL,13,57.30769230769231,215.0
BDL,IAD,BDLto(->)IAD,21,57.19047619047619,326.0
PHL,ATL,PHLto(->)ATL,22,57.18181818181818,665.0
BWI,BOS,BWIto(->)BOS,35,57.17142857142857,370.0
FAT,SAN,FATto(->)SAN,18,57.166666666666664,314.0
SAT,ONT,SATto(->)ONT,14,57.142857142857146,1167.0
ORD,IAD,ORDto(->)IAD,121,57.099173553719005,589.0
DEN,MKE,DENto(->)MKE,14,56.92857142857143,895.0
ORD,OAK,ORDto(->)OAK,34,56.911764705882355,1835.0
BRO,IAH,BROto(->)IAH,25,56.8,308.0
OMA,EWR,OMAto(->)EWR,17,56.76470588235294,1133.0
RNO,GEG,RNOto(->)GEG,12,56.75,572.0
DEN,GUC,DENto(->)GUC,22,56.68181818181818,152.0
